?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
240,0200,240,0000,000,0000,000,0000,0000,004,0100
240,0200,241,0200,240,0200,000,0240,0000,004,0100
241,EEFD,242,EEFD,23F,0000,000,FFFD,0000,004,0100,23F,0000
242,AF04,243,AF04,242,0004,000,0004,0004,000,0000
243,EEFA,244,EEFA,23E,0004,000,FFFA,0004,000,0000,23E,0004
244,AEF7,245,AEF7,23C,0252,000,FFF7,0252,000,0000
245,EEF7,246,EEF7,23D,0252,000,FFF7,0252,000,0000,23D,0252
246,AAF6,247,AAF6,252,524E,000,FFF6,524E,000,0000,23D,0253
247,F202,248,F202,247,F202,000,0247,524E,000,0000
248,0300,249,0300,248,0300,000,0248,524E,000,0000
249,0380,24A,0380,249,0380,000,0249,524E,001,0001
24A,0200,24B,0200,24A,0200,000,024A,0000,005,0101
24B,0280,24C,0280,24B,0280,000,024B,FFFF,009,1001
24C,2EF2,24D,2EF2,23F,0000,000,FFF2,0000,005,0101
24D,0400,24E,0400,24D,0400,000,024D,0001,000,0000
24E,EEF0,24F,EEF0,23F,0001,000,FFF0,0001,000,0000,23F,0001
24F,823E,250,823E,23E,0003,000,0002,0001,000,0000,23E,0003
250,CEF5,246,CEF5,250,0246,000,FFF5,0001,000,0000
246,AAF6,247,AAF6,253,F600,000,FFF6,F600,008,1000,23D,0254
247,F202,24A,F202,247,F202,000,0002,F600,008,1000
24A,0200,24B,0200,24A,0200,000,024A,0000,004,0100
24B,0280,24C,0280,24B,0280,000,024B,FFFF,008,1000
24C,2EF2,24D,2EF2,23F,0001,000,FFF2,0001,000,0000
24D,0400,24E,0400,24D,0400,000,024D,0002,000,0000
24E,EEF0,24F,EEF0,23F,0002,000,FFF0,0002,000,0000,23F,0002
24F,823E,250,823E,23E,0002,000,0001,0002,000,0000,23E,0002
250,CEF5,246,CEF5,250,0246,000,FFF5,0002,000,0000
246,AAF6,247,AAF6,254,0100,000,FFF6,0100,000,0000,23D,0255
247,F202,248,F202,247,F202,000,0247,0100,000,0000
248,0300,249,0300,248,0300,000,0248,0100,000,0000
249,0380,24A,0380,249,0380,000,0249,0100,001,0001
24A,0200,24B,0200,24A,0200,000,024A,0000,005,0101
24B,0280,24C,0280,24B,0280,000,024B,FFFF,009,1001
24C,2EF2,24D,2EF2,23F,0002,000,FFF2,0002,001,0001
24D,0400,24E,0400,24D,0400,000,024D,0005,000,0000
24E,EEF0,24F,EEF0,23F,0005,000,FFF0,0005,000,0000,23F,0005
24F,823E,250,823E,23E,0001,000,0000,0005,000,0000,23E,0001
250,CEF5,246,CEF5,250,0246,000,FFF5,0005,000,0000
246,AAF6,247,AAF6,255,0000,000,FFF6,0000,004,0100,23D,0256
247,F202,248,F202,247,F202,000,0247,0000,004,0100
248,0300,249,0300,248,0300,000,0248,0000,004,0100
249,0380,24A,0380,249,0380,000,0249,0000,005,0101
24A,0200,24B,0200,24A,0200,000,024A,0000,005,0101
24B,0280,24C,0280,24B,0280,000,024B,FFFF,009,1001
24C,2EF2,24D,2EF2,23F,0005,000,FFF2,0005,001,0001
24D,0400,24E,0400,24D,0400,000,024D,000B,000,0000
24E,EEF0,24F,EEF0,23F,000B,000,FFF0,000B,000,0000,23F,000B
24F,823E,251,823E,23E,0000,000,FFFF,000B,000,0000,23E,0000
251,0100,252,0100,251,0100,000,0251,000B,000,0000
